"We can't save the cron expression.","We can't save the cron expression."
Daily,毎日
Weekly,週ごと
Monthly,月ごと
"Invalid cron expression: %1","Invalid cron expression: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Invalid cron expression, expecting 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Invalid cron expression, expecting numeric modulus: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Invalid cron expression, expecting 'from-to' structure: %1"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (スケジュールタスク) - 分で全ての時間を示す"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Cronが動作している間に生成される正確なＵＲＬサイトが作成されます > セキュアと非セキュアＵＲＬが決定されます。"
"Cron configuration options for group: ","Cron configuration options for group: "
"Generate Schedules Every",スケジュール生成間隔
"Schedule Ahead for",事前作成するスケジュール
"Missed if Not Run Within",失敗しているか、処理中です。
"History Cleanup Every",履歴削除間隔
"Success History Lifetime",成功履歴保持期間
"Failure History Lifetime",失敗履歴保持期間
"Use Separate Process","Use Separate Process"
