"Account Registration","アカウント登録"
"All fields of script types have to be filled.","全てのスクリプトタイプを埋めてください。"
"Attributes","属性"
"Category View Optimization","カテゴリ表示最適化"
"Control Script","制御用スクリプト"
"Conversion Page","測定対象ページ"
"Conversion Page URL","測定対象ページのＵＲＬ"
"Conversion Script","測定用スクリプト"
"Enable","有効"
"Google Optimizer Scripts","Google Website Optimizerのスクリプト"
"Google Website Optimizer","Google ウェブサイトの最適化"
"Install Scripts","インストール用スクリプト"
"Multi Address Checkout","複数住所への配送"
"One Page Checkout","ワンページチェックアウト"
"Order Success (Multi Address Checkout)","注文成功 (複数住所への配送)"
"Order Success (One Page Checkout)","注文成功 (標準の購入ページ)"
"Original Page","オリジナルページ"
"Other","その他"
"Page Type","ページタイプ"
"Page View Optimization","ページ表示最適化"
"Please copy and paste this value to experiment edit form","コピー＆ペーストして値を編集してください"
"Please copy and paste this value to experiment edit form.","コピー＆ペーストして値を編集してください"
"Please select store view to see the URL","URLを表示するストアビューを選択してください。"
"Please select store view to see the URL.","URLを表示するストアビューを選択してください。"
"Product View Optimization","商品表示最適化"
"Scripts Install URL","スクリプト導入ＵＲＬ"
"Shopping Cart","ショッピングカート"
"The limit is 8 attributes only.","属性は8つまで使用できます。"
"Tracking Script","追跡用スクリプト"
"Use Default","標準の値を使用"
"Use Default Values","標準の値を使用"
"Variant Page","編集ページ"
