"Active","アクティブ","1"
"Add Attribute Mapping","マッピング属性追加","1"
"Add New Attribute","新規属性の追加","1"
"Add to Google Base","Google Baseの追加","1"
"Are you sure?","よろしいですか？","1"
"Attribute","属性","1"
"Attribute Set","属性セット","1"
"Attribute Set and Item Type","属性セットとアイテムタイプ","1"
"Attributes","属性","1"
"Attributes Mapping","属性マッピング","1"
"Attributes Set","属性セット","1"
"AuthSub","AuthSub","2"
"Available Products","製品利用","1"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","2"
"Captcha confirmation error: %s","Captchaエラー: %s","1"
"Captcha has been confirmed.","Captchaを確認しました。","1"
"Catalog","カタログ","1"
"Clicks","押下","1"
"ClientLogin","クライアントログイン","1"
"Confirm","承認","1"
"Current Mapping will be reloaded. Continue?","今のマッピングは再読込されます。 続けますか？","1"
"Custom attribute, no mapping","カスタム属性、マッピング不可","1"
"Delete","削除","1"
"Delete Mapping","マッピングの削除","1"
"Edit Item Type","アイテムタイプの編集","1"
"Edit Item Type ""%s""","アイテムタイプ ""%s"" の編集","1"
"Error: %s","エラー: %s","1"
"Expires","期限切れ","1"
"Google","Google","2"
"Google Base","Googleベース","1"
"Google base","Googleベース","1"
"Google Base Attribute","Google Base属性","1"
"Google Base ID","GoogleベースID","1"
"Google Base Item Type","Google Base アイテムタイプ","1"
"Google Base Item type","Google Base アイテムタイプ","1"
"Google Base Items","Google Base アイテム","1"
"Hide","非表示","1"
"Hosted","ホスト","1"
"Hosted or Google","Googleでホストされています","1"
"Impr.","Impr.","2"
"Invalid Product Model for Google Base Item","Google Base アイテムの無効な製品","1"
"Item model is not specified to delete Google Base entry.","削除するGoogle Baseのエントリでアイテムが指定されていません。","1"
"Item Type was deleted","アイテム型は削除されました","1"
"Item Types","アイテムタイプ","1"
"Items","アイテム","1"
"Manage Attribute Mapping","マッピング属性の管理","1"
"Manage Attributes","管理属性","1"
"Manage Items","アイテム管理","1"
"New Item Type","新しいアイテムタイプ","1"
"New ItemType","新しいアイテムタイプ","1"
"No","No","2"
"No items were deleted from Google Base","Google Baseからアイテムを削除できませんでした","1"
"No items were published","アイテムは表示できません","1"
"No items were saved as inactive items","無効なアイテムとして保存されたアイテムはありません。","1"
"No products were added to Google Base","Google Baseに製品を追加できませんでした","1"
"Object model is not specified to save Google Base entry.","Google Baseエントリで保存するオブジェクトが指定されていません。","1"
"Please, select Attribute Set and Google Item Type to load attributes","選択した属性セットとGoogleアイテムタイプをロード属性にしてください","1"
"Product Name","商品名","1"
"Publish","公開","1"
"Published","公開済","1"
"Remove","削除","1"
"Save Mapping","マッピングの保存","1"
"Session expired during export. Please revise exported products and repeat the process if necessary.","エクスポート中にセッションがタイムアウトしました。 もし必要であれば対象の商品を選択しなおして、再度エクスポートしてください。","1"
"Synchronize","同期","1"
"Target Country","対象国","1"
"The item type has been saved.","アイテム種別を保存しました。","1"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","この処理はGoogle Baseで使用しないアイテムを移動させアイテム数を更新します。続けますか？","1"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","合計 %d 件のアイテムを削除しました。合計 %d 件のアイテムを更新しました。","1"
"Total of %d items(s) have been published.","合計 %d 件を公開しました。","1"
"Total of %d items(s) have been removed from Google Base.","合計 %d 件の商品がGoogle Baseから削除されました。","1"
"Total of %d items(s) have been saved as inactive items.","合計 %d 件のアイテムを無効にしました。","1"
"Total of %d product(s) have been added to Google Base.","合計 %d 件の商品をGoogle Baseに追加しました。","1"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Google Baseに接続できません。アカウントの設定構成を確認してください。","1"
"Unable to select a Store View.","ストアビューを選択できません。","1"
"View Available Products","利用可能な商品を表示","1"
"View Item in Google Base","Google Baseの表示アイテム","1"
"Yes","Yes","2"
