Back,戻る
Reset,リセット
ID,ID
Action,アクション
Country,国
City,市区町村
"Zip/Postal Code",郵便番号
Preview,プレビュー
Subject,件名
Unknown,不明
"Add New Template",新しいテンプレートの追加
"Transactional Emails",取り引きメール
"Delete Template",テンプレートの削除
"Convert to Plain Text",プレーンテキストに変換
"Return Html Version",HTMLバージョンに戻る
"Preview Template",テンプレートのプレビュー
"Save Template",テンプレートの保存
"Load Template",テンプレートを読み込む
"Edit Email Template",メールテンプレートの編集
"New Email Template",新規メールテンプレート
GLOBAL,グローバル
"Template Information",テンプレート情報
"Used Currently For",現在使用中の
"Used as Default For",デフォルトを使用する
"Template Name",テンプレート名
"Template Subject",テンプレート件名
"Insert Variable...",変数の挿入...
"Template Content",テンプレートコンテンツ
"Template Styles",テンプレートスタイル
"The email template has been deleted.",メールテンプレートを削除しました。
"The email template is currently being used.","The email template is currently being used."
"An error occurred while deleting email template data. Please review log and try again.",メールテンプレートを削除中にエラーが発生しました。ログを確認の上やり直してください。
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template",テンプレートの編集
"Edit System Template",システムテンプレートの編集
"New Template",新規テンプレート
"New System Template",新規システムテンプレート
"Email Templates",メールテンプレート
"An error occurred. The email template can not be opened for preview.","An error occurred. The email template can not be opened for preview."
"This email template no longer exists.","This email template no longer exists."
"The email template has been saved.",メールテンプレートを保存しました。
"Base Unsecure URL",ベースURL
"Base Secure URL",セキュアベースURL
"General Contact Name",総合受付担当者名
"General Contact Email",総合受付メールアドレス
"Sales Representative Contact Name",セールス担当者名
"Sales Representative Contact Email",セールス担当者メールアドレス
"Custom1 Contact Name",カスタム問い合わせ担当者名1
"Custom1 Contact Email",カスタム問い合わせメールアドレス1
"Custom2 Contact Name",カスタム問い合わせ担当者名2
"Custom2 Contact Email",カスタム問い合わせメールアドレス2
"Store Name",店舗名
"Store Phone Number",店舗電話番号
Region/State,地域
"Street Address 1","Street Address 1"
"Street Address 2",番地2
"Store Contact Information",店舗コンテンツ情報
%1,%1
"Template Variables",テンプレート変数
"The template Name must not be empty.",テンプレート名が空です。
"Duplicate Of Template Name",テンプレート名の複製
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"Invalid sender data","Invalid sender data"
"Load default template",標準のテンプレートを読み込む
Template,テンプレート
"Are you sure that you want to strip tags?",タグを除去しても構いませんか？
"Are you sure that you want to delete this template?",このテンプレートを削除してもよろしいですか？
"Failed to load template. See error log for details.","Failed to load template. See error log for details."
"Email Preview","Email Preview"
"No Templates Found",テンプレートが見つかりませんでした
Added,Added
Updated,Updated
"Template Type",テンプレートタイプ
