"Mage_Customer::Create New Customer Account","新規お客様アカウント登録"
"Mage_Customer::Already registered?","もう会員登録はお済みですか？"
"Mage_Customer::Order Total","ご注文合計"
"Mage_Sales::Order Total","ご注文合計"
"Mage_Customer::Default Billing Address","標準のご請求先住所"
"Mage_Customer::Default Shipping Address","標準のお届け先住所"
"Mage_Customer::Set as Default Billing Address","標準のご請求先住所に設定する"
"Mage_Customer::Set as Default Shipping Address","標準のお届け先住所に設定する"
"Mage_Customer::Use as My Default Billing Address","標準のご請求先住所にする"
"Mage_Customer::Use as My Default Shipping Address","標準のお届け先住所にする"
"Mage_Customer::Use as my default billing address","標準のご請求先住所にする"
"Mage_Customer::Use as my default shipping address","標準のお届け先住所にする"
"Mage_Customer::Additional Address Entries","その他のご住所"
"Mage_Customer::You have no additional address entries in your address book.","その他のご住所はまだ登録されていません。"
"Mage_Customer::Change Billing Address","ご請求先住所変更"
"Mage_Checkout::Change Billing Address","ご請求先住所変更"
"Mage_Customer::Change Shipping Address","お届け先変更"
"Mage_Checkout::Change Shipping Address","お届け先変更"
"Mage_Sales::Number","追跡番号"
"Mage_Sales::Title","配送会社"
"Already registered?","もう会員登録はお済みですか？"
"Register","新規登録"
