"New Here?","ご登録がまだの方へ"
"Registration is free and easy!","登録は無料で簡単です！"
"Faster checkout","スピーディーにお買い物ができるようになります"
"Save multiple shipping addresses","お届け先を複数登録できます"
"View and track orders and more","ご注文の状況を確認することができるようになります"
" View All Products","の商品をすべて表示"
"Product Information","製品情報"
"Product Description","製品説明"
"SKU","商品型番"
"Empty Cart","カートを空にする"
"View Shopping Cart","カートを見る"
"Estimate","計算する"
"Returning Customers","ご登録済みのお客様"
"Sign in to speed up your checkout process","ログインしていただきますと、素早くお買い物ができます"
"Register and Checkout","会員登録して購入する"
"Move to wishlist","欲しい物リストへ移動"
"Results per page","表示件数"
"%s-%s of %s","%s-%s 中 %s"
"Filter","フィルター"
"View Details","詳細表示"
"Share on Facebook","Facebookで共有"
"Share on Twitter","Twitterで共有"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","ご購入手続きを最初からやり直して頂く必要がありますが、このページから移動してもよろしいですか？"
"Zip/Postal Code","郵便番号"
"Discount Codes?","クーポンコード"
"Please enter more than 8 and including one more number and alphabet characters. Leading or trailing spaces will be ignored.","半角英数字をそれぞれ1文字以上含む、8文字以上で入力してください。先頭と最後の空白は無視されます。"
"Update","更新"
"There are no recurring profiles yet.","まだ継続課金のご契約はありません。"
