Reset,リセット
System,システム
Import,インポート
"Save Currency Rates",通貨レートの保存
"Manage Currency Rates",通貨レート管理
"Import Service",サービスのインポート
"Save Currency Symbols",通貨記号を保存
"Currency Symbols","Currency Symbols"
"Use Standard",標準を使用する
"Please specify a correct Import Service.","Please specify a correct Import Service."
"We can't initialize the import model.","We can't initialize the import model."
"All possible rates were fetched, please click on ""Save"" to apply","全ての利用可能な為替レートを取得しました。""保存"" をクリックして適用してください。"
"All rates were fetched, please click on ""Save"" to apply","全てのレートを取得しました。 ""保存"" をクリックして適用してください。"
"Currency Rates","Currency Rates"
"Please correct the input data for %1 => %2 rate","Please correct the input data for %1 => %2 rate"
"All valid rates have been saved.",正しいレートが保存されました。
"The custom currency symbols were applied.","The custom currency symbols were applied."
Currency,通貨
Symbol,記号
"Old rate:",旧レート:
