"3D Secure Card Validation",3Dセキュアカード認証
"Validation failed.",認証失敗
"3D Secure Verification Result",3Dセキュア認証結果
"3D Secure Cardholder Validation",3Dセキュア発行元認証
"3D Secure Electronic Commerce Indicator",3Dセキュア電子商取引インジケータ
"3D Secure CAVV",3DセキュアCAVV
"3D Secure XID",3DセキュアXID
"Merchant Liability",出店者義務
"Card Issuer Liability",カード発行元ライブラリ
Enrolled,加入済
"Enrolled but Authentication Unavailable",加入済みですが認証は利用できません
"Not Enrolled",未加入
Successful,成功
Failed,失敗
"Unable to complete",完了できませんでした
"Successful attempt",成功しました
"Unsupported currency code: %1.","Unsupported currency code: %1."
"Payment information error. Please start over.",決済サーバエラーです。やり直してください。
"Please verify the card with the issuer bank before placing the order.",ご注文の完了前にカード発行元に確認してください。
"This card has failed validation and cannot be used.",このカードの確認に失敗しました。このカードはご利用いただけません。
"Verification Successful",認証成功
"Please continue with placing order.",ご注文を完了するには先にお進み頂く必要があります
"Verification Failed",認証失敗
"The card has failed verification with the issuer bank.",カード発行元で認証が失敗しました。
"Order cannot be placed.",ご注文を保存できませんでした。
"Verification cannot be processed",認証できません
"There has been wrong payment information submitted or time limit has expired. Please, try again.",誤った決済情報が送信されたか、時間切れです。やり直してください。
"Card Verification",カード認証
"Start/Reset Validation...",認証の開始/停止
"Please verify the card with the issuer bank:",発行元にカードを確認してください。:
"There has been wrong payment information submitted or the time limit has expired. Please, try again.",不正な支払情報が送信されたか、制限時間オーバーです。やり直してください。
"To ensure the security of your transactions",お取引内容のセキュリティ性を確保するため
"Verified by Visa",VISAで認証
"MasterCard SecureCode",マスターカードセキュアコード
Password,パスワード
"Payment Services",決済サービス
"3D Secure Credit Card Validation",3Dセキュア認証
"Processor ID",プロセッサID
"Merchant ID","マーチャント ID"
"Test Mode",テストモード
"This overrides any API URL that may be specified by a payment method.","This overrides any API URL that may be specified by a payment method."
"Debug Mode",デバッグモード
