"1 star","1つ星","1"
"2 stars","2つ星","1"
"3 stars","3つ星","1"
"4 stars","4つ星","1"
"5 stars","5つ星","1"
"Add New Rating","新規評価の追加","1"
"Assigned Options","割り当て済みのオプション","1"
"Be the first to review this product","この商品の最初のレビューを書く","1"
"Default Value","標準の値","1"
"Delete Rating","評価の削除","1"
"Edit Rating","評価の編集","1"
"ID","ID","2"
"If you do not specify a rating title for a store, the default value will be used.","設定しない場合はデフォルト値が適用されます。","1"
"Manage Ratings","評価管理","1"
"New Rating","新しい評価","1"
"Option Label","オプションのラベル","1"
"Option Title","オプションのタイトル","1"
"Option Title:","オプションのタイトル:","1"
"Please select one of each ratings above","評価を選択してください。","1"
"Rating Information","評価情報","1"
"Rating isn't Available","評価することはできません","1"
"Rating Name","評価名","1"
"Rating Options","評価オプション","1"
"Rating Title","評価タイトル","1"
"Rating Visibility","評価の表示","1"
"Rating with the same title","同じタイトルで評価","1"
"Save Rating","評価の保存","1"
"Visible In","表示先","1"
