"""Remember Me"" Default Value","""ログイン状態を記憶する"" の標準期間","1"
"(Not %s?)","(Not %s?)","2"
"* Required Fields","* 必須項目","1"
"Address","番地","1"
"Address Information","住所情報","1"
"Already registered?","登録はお済みですか？","1"
"Back","戻る","1"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","アカウントを作成いただくと、お買い物がよりスピーディーに行え、複数のお届け先を登録できます。また、ご注文の追跡などができます。","1"
"Cannot load configuration from file %s.","Cannot load configuration from file %s.","2"
"Checkout as a Guest or Register","ゲストまたは会員として購入","1"
"Checkout as Guest","ゲストとして購入","1"
"City","市","1"
"Clear Persistence on Log Out","Clear Persistence on Log Out","2"
"Close","閉じる","1"
"Company","会社名","1"
"Confirm Password","パスワード再確認","1"
"Continue","続ける","1"
"Country","国","1"
"Create an Account","アカウントを作成","1"
"Easy access to your order history and status","簡単にご注文の履歴，状態が確認できます．","1"
"Email Address","メールアドレス","1"
"Enable ""Remember Me""","Enable ""Remember Me""","2"
"Enable Persistence","Enable Persistence","2"
"Fast and easy check out","早く，簡単に支払い手続きができます．","1"
"Fax","FAX番号","1"
"Forgot Your Password?","パスワードをお忘れですか？","1"
"Forgot your password?","パスワードをお忘れですか？","1"
"General Options","全体のオプション","1"
"If you have an account with us, please log in.","アカウントをお持ちの場合は、ログインをお願いします。","1"
"Loading next step...","次のステップを読み込んでいます...","1"
"Login","ログイン","1"
"Login Information","ログイン情報","1"
"Login or Create an Account","ログインまたはアカウント新規作成","1"
"New Customers","新規顧客","1"
"Password","パスワード","1"
"Persist Shopping Cart","Persist Shopping Cart","2"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)","2"
"Persistent Shopping Cart","Persistent Shopping Cart","2"
"Personal Information","個人情報","1"
"Please log in below:","こちらからログインしてください:","1"
"Please select region, state or province","都道府県を選択してください","1"
"Register","新規登録","1"
"Register and save time!","登録すると手続きが簡単に!","1"
"Register to Create an Account","アカウントを作成するために会員登録をお願いいたします。","1"
"Register with us for future convenience:","登録のメリット","1"
"Registered Customers","登録済の会員","1"
"Remember Me","ログイン状態を維持する","1"
"Save in address book","アドレス帳に保存","1"
"Select a billing address from your address book or enter a new address.","アドレスブックから請求先の住所を選択するか、新しい住所を入力してください。","1"
"Select State/Province...","都道府県を選択してください。","1"
"Ship to different address","別の住所へ送る","1"
"Ship to this address","この住所へ送る","1"
"Sign Up for Newsletter","メールマガジンを購読する","1"
"State/Province","都道府県","1"
"Street Address","住所","1"
"Street Address %s","住所 %s","1"
"Submit","送信","1"
"Telephone","電話番号","1"
"Welcome, %s!","ようこそ、%s様!","1"
"What\'s this?","これは何ですか？","1"
"Zip/Postal Code","郵便番号","1"
