"Product Alerts",商品通知
"We can't find the product.","We can't find the product."
"You saved the alert subscription.","You saved the alert subscription."
"There are not enough parameters.","There are not enough parameters."
"Unable to update the alert subscription.",購読状況を更新できません。
"Alert subscription has been saved.",更新通知を購読しました。
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.",この商品の価格変更通知受信を停止しました。
"You will no longer receive stock alerts for this product.",この商品の在庫更新通知を停止しました。
"The product was not found.",商品が見つかりません。
"You will no longer receive stock alerts.",在庫更新通知を受信しなくなります。
"Invalid block type: %1","Invalid block type: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:",以下の商品の価格が変更された場合に通知されるように設定しているため、この通知を受け取りました。
Price:,価格:
"Click here not to receive alerts for this product.","Click here not to receive alerts for this product."
"Unsubscribe from all price alerts",すべての価格通知を購読解除する
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:",以下の商品が在庫有りになった場合の通知されるように設定しているため、この通知を受け取りました。
"Unsubscribe from all stock alerts",在庫通知を購読解除する
"Start Time",開始時間
Frequency,頻度
"Error Email Recipient",メールの受信エラー
"Error Email Sender",エラーメール送信者
"Error Email Template",エラーメールテンプレート
"Allow Alert When Product Price Changes",商品価格変更時の通知を許可する
"Allow Alert When Product Comes Back in Stock",商品入荷時の通知を許可する
"Price Alert Email Template",価格変更通知メールテンプレート
"Stock Alert Email Template",在庫更新通知メールテンプレート
"Alert Email Sender",通知Email送信者
"Product Alerts Run Settings",商品通知実行設定
"Sign up for price alert",価格通知を購読する
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
